source	output	vertices	edges	vertex_labels	edge_labels
query_dense_16_1.graph	query_dense_16_1.cypher	16	26	1,10,11,12,13,14,3,4,5,6,7,9	0
query_dense_16_10.graph	query_dense_16_10.cypher	16	28	0,10,13,14,4,5,7,8,9	0
query_dense_16_100.graph	query_dense_16_100.cypher	16	34	0,1,11,12,2,3,4,5,6,7,8	0
query_dense_16_101.graph	query_dense_16_101.cypher	16	30	10,11,12,14,3,4,5,6,7,8,9	0
query_dense_16_102.graph	query_dense_16_102.cypher	16	31	0,10,11,12,13,14,2,3,6,7,8,9	0
query_dense_16_103.graph	query_dense_16_103.cypher	16	27	0,1,10,11,12,13,14,2,3,5,7	0
query_dense_16_104.graph	query_dense_16_104.cypher	16	30	0,1,10,12,14,5,6,9	0
query_dense_16_105.graph	query_dense_16_105.cypher	16	39	0,12,13,14,5,6,8	0
query_dense_16_106.graph	query_dense_16_106.cypher	16	32	0,10,11,2,3,4,5,6,9	0
query_dense_16_107.graph	query_dense_16_107.cypher	16	30	0,1,10,12,13,5,6,7,8	0
query_dense_16_108.graph	query_dense_16_108.cypher	16	31	0,1,10,11,12,14,3,5,8,9	0
query_dense_16_109.graph	query_dense_16_109.cypher	16	35	0,1,10,2,3,5,6,7,8	0
query_dense_16_11.graph	query_dense_16_11.cypher	16	49	1,11,13,14,2,4,6,7,8,9	0
query_dense_16_110.graph	query_dense_16_110.cypher	16	29	0,1,10,11,12,14,3,4,5,6	0
query_dense_16_111.graph	query_dense_16_111.cypher	16	27	1,10,11,13,14,5,6,7,9	0
query_dense_16_112.graph	query_dense_16_112.cypher	16	34	11,13,14,5,6,7,8,9	0
query_dense_16_113.graph	query_dense_16_113.cypher	16	28	0,10,11,12,13,14,2,3,4,6,7	0
query_dense_16_114.graph	query_dense_16_114.cypher	16	39	1,11,12,13,2,3,5,7,8	0
query_dense_16_115.graph	query_dense_16_115.cypher	16	27	0,1,12,13,14,2,6,7,9	0
query_dense_16_116.graph	query_dense_16_116.cypher	16	29	0,1,10,12,2,3,5,6,7,8	0
query_dense_16_117.graph	query_dense_16_117.cypher	16	30	0,1,11,12,2,3,4,6,8,9	0
query_dense_16_118.graph	query_dense_16_118.cypher	16	30	0,11,13,3,4,5,6,7,8,9	0
query_dense_16_119.graph	query_dense_16_119.cypher	16	58	10,11,12,13,14,2,4,6,7,8,9	0
query_dense_16_12.graph	query_dense_16_12.cypher	16	26	1,11,12,13,2,3,4,5,6,7,8	0
query_dense_16_120.graph	query_dense_16_120.cypher	16	34	0,10,2,3,4,5,6,7	0
query_dense_16_121.graph	query_dense_16_121.cypher	16	33	10,11,13,14,2,5,8	0
query_dense_16_122.graph	query_dense_16_122.cypher	16	29	0,1,11,12,13,14,2,6,9	0
query_dense_16_123.graph	query_dense_16_123.cypher	16	27	0,10,12,14,3,5,7,8,9	0
query_dense_16_124.graph	query_dense_16_124.cypher	16	26	10,11,13,3,4,6,8,9	0
query_dense_16_125.graph	query_dense_16_125.cypher	16	29	1,10,11,12,14,3,4,5,6,7,8	0
query_dense_16_126.graph	query_dense_16_126.cypher	16	27	0,1,10,14,2,3,4,6,8,9	0
query_dense_16_127.graph	query_dense_16_127.cypher	16	35	1,11,13,14,2,3,4,5,6,8,9	0
query_dense_16_128.graph	query_dense_16_128.cypher	16	30	1,11,14,2,4,7,9	0
query_dense_16_129.graph	query_dense_16_129.cypher	16	35	0,1,10,11,13,14,4,5,7,9	0
query_dense_16_13.graph	query_dense_16_13.cypher	16	30	0,1,10,11,13,14,2,3,4,5,6,8	0
query_dense_16_130.graph	query_dense_16_130.cypher	16	31	10,11,14,2,3,4,6,8,9	0
query_dense_16_131.graph	query_dense_16_131.cypher	16	28	0,11,12,13,2,3,4,5,6,7,8	0
query_dense_16_132.graph	query_dense_16_132.cypher	16	27	0,1,11,13,14,3,5,7,9	0
query_dense_16_133.graph	query_dense_16_133.cypher	16	27	0,10,11,12,13,14,2,6,7,8	0
query_dense_16_134.graph	query_dense_16_134.cypher	16	26	12,14,2,4,5,7,8,9	0
query_dense_16_135.graph	query_dense_16_135.cypher	16	29	0,11,13,3,4,6,8,9	0
query_dense_16_136.graph	query_dense_16_136.cypher	16	28	0,1,12,13,14,2,3,4,5,6,7,8	0
query_dense_16_137.graph	query_dense_16_137.cypher	16	27	10,11,12,3,4,7,8,9	0
query_dense_16_138.graph	query_dense_16_138.cypher	16	58	0,10,11,12,13,2,3,4,6,7,8,9	0
query_dense_16_139.graph	query_dense_16_139.cypher	16	31	0,1,13,2,3,4,5,7,8,9	0
query_dense_16_14.graph	query_dense_16_14.cypher	16	33	0,1,10,11,13,14,2,4,6	0
query_dense_16_140.graph	query_dense_16_140.cypher	16	28	10,12,13,14,3,4,5,6,7	0
query_dense_16_141.graph	query_dense_16_141.cypher	16	46	10,11,12,13,3,5,6,7,8,9	0
query_dense_16_142.graph	query_dense_16_142.cypher	16	82	0,1,10,11,12,13,14,4,5,7	0
query_dense_16_143.graph	query_dense_16_143.cypher	16	40	1,10,13,14,2,5,6,7	0
query_dense_16_144.graph	query_dense_16_144.cypher	16	29	1,10,12,13,4,5,6,8,9	0
query_dense_16_145.graph	query_dense_16_145.cypher	16	30	1,10,12,2,3,4,6,7	0
query_dense_16_146.graph	query_dense_16_146.cypher	16	27	0,10,11,12,14,2,3,6	0
query_dense_16_147.graph	query_dense_16_147.cypher	16	43	1,11,13,14,2,3,6,7,8	0
query_dense_16_148.graph	query_dense_16_148.cypher	16	36	0,10,13,4,5,7,8	0
query_dense_16_149.graph	query_dense_16_149.cypher	16	74	0,12,13,14,2,3,4,6,7	0
query_dense_16_15.graph	query_dense_16_15.cypher	16	28	1,11,12,13,14,3,4,5,7,8	0
query_dense_16_150.graph	query_dense_16_150.cypher	16	36	0,10,11,13,14,2,4,5,6,7,9	0
query_dense_16_151.graph	query_dense_16_151.cypher	16	31	0,1,12,13,14,2,4,6,9	0
query_dense_16_152.graph	query_dense_16_152.cypher	16	28	0,1,10,11,12,14,4,5,6,8,9	0
query_dense_16_153.graph	query_dense_16_153.cypher	16	38	0,10,11,12,13,14,2,4,5,8	0
query_dense_16_154.graph	query_dense_16_154.cypher	16	43	0,1,10,11,12,13,14,4,5,6,8	0
query_dense_16_155.graph	query_dense_16_155.cypher	16	30	10,11,12,14,4,5,6,8	0
